Community Area,Type of Service Request,Percentage of Total
58,Pothole in Street,0.09310877250010158
58,Garbage Cart Black Maintenance/Replacement,0.05887611230750477
58,Graffiti Removal,0.665617000528219
58,Abandoned Vehicle Complaint,0.04083539880541221
58,Street Light Out,0.032891796351225064
58,Tree Debris,0.009609524196497502
58,Rodent Baiting/Rat Complaint,0.0398602251025964
58,Tree Trim,0.05920117020844338
56,Pothole in Street,0.23747913188647746
56,Garbage Cart Black Maintenance/Replacement,0.0842429690509824
56,Graffiti Removal,0.2656671375369205
56,Abandoned Vehicle Complaint,0.05550918196994992
56,Street Light Out,0.12604340567612687
56,Tree Debris,0.039199948632335946
56,Rodent Baiting/Rat Complaint,0.0315911133941184
56,Tree Trim,0.16026711185308848
28,Pothole in Street,0.27285579641847313
28,Garbage Cart Black Maintenance/Replacement,0.07260249764373233
28,Graffiti Removal,0.35320452403393027
28,Abandoned Vehicle Complaint,0.03734684260131951
28,Street Light Out,0.09566446748350613
28,Tree Debris,0.013312912346842601
28,Rodent Baiting/Rat Complaint,0.08220428840716305
28,Tree Trim,0.07280867106503298
29,Pothole in Street,0.18701628251215902
29,Garbage Cart Black Maintenance/Replacement,0.25294988369634175
29,Graffiti Removal,0.14654260943116937
29,Abandoned Vehicle Complaint,0.04618312539648974
29,Street Light Out,0.13047155846902095
29,Tree Debris,0.04089659547473039
29,Rodent Baiting/Rat Complaint,0.10928314654260943
29,Tree Trim,0.08665679847747938
60,Pothole in Street,0.09646926956846628
60,Garbage Cart Black Maintenance/Replacement,0.0895572576125537
60,Graffiti Removal,0.43990285821034936
60,Abandoned Vehicle Complaint,0.07909583411171306
60,Street Light Out,0.05746310480104614
60,Tree Debris,0.022267887166075098
60,Rodent Baiting/Rat Complaint,0.06572015692135251
60,Tree Trim,0.14952363160844387
61,Pothole in Street,0.1793715139138651
61,Garbage Cart Black Maintenance/Replacement,0.12133865707580237
61,Graffiti Removal,0.3615166570148435
61,Abandoned Vehicle Complaint,0.04361608095339693
61,Street Light Out,0.08238593068974977
61,Tree Debris,0.036941083239355056
61,Rodent Baiting/Rat Complaint,0.08659209363284465
61,Tree Trim,0.08823798348014264
62,Pothole in Street,0.15213457870800529
62,Garbage Cart Black Maintenance/Replacement,0.058878184752310624
62,Graffiti Removal,0.5163577681060199
62,Abandoned Vehicle Complaint,0.061763411413761064
62,Street Light Out,0.06474644236881999
62,Tree Debris,0.018974032960046947
62,Rodent Baiting/Rat Complaint,0.07281529659152036
62,Tree Trim,0.05433028509951587
